nom_entreprise,chiffre_d_affaire,CAGR_CA,CAGR_endettement_court_terme,CAGR_marge,CAGR_endettement_long_terme,CAGR_resultat_net,CAGR_tresorerie,resultat_net,marge,endettement_long_terme,endettement_court_terme,per,tresorerie,CAPEX_CA,qualite_resultat,produits_finis_matiere_premieres,famille_gouverne_entreprise,actionnariat_majoritaire_fiable,exposition_internationale,age_entreprise,duree_mandat_gerant,risque_disruption_technologique,stabilite_management,concurrence,croissance_organique_vs_acquisition,capacite_a_augmenter_prix,produit_rare,diversification,capital_detenu_par_fondateur,business_sticky,impact_disparition,viable_sur_long_terme,importance_patron,client_riche,marche_ouvert_ferme,risque_politique,risque_fournisseur,business_recurrent,verse_dividende,sensibilite_conjoncture
Entreprise_001,37485284878.793884,-0.0844954836494177,-0.11553246846391774,-0.05842274897079454,0.17913159796451128,0.059540892568109016,0.27825069914974004,6701338732.058555,0.1787725171017608,6383822107.601943,3908186170.500942,35.27163473940041,4874649039.567542,0.036832473240898396,0,1,0,5.992992870063887,1.2384602670581746,35,4,6.202348489611205,9.799554473582784,5.061398526946443,9.80005463196817,8.96256716471579,2.2867075138460335,8.627707774592256,1,6.895342089054152,2,2.072825225497356,9.38578239586033,7.166319367020314,7.021643286483124,7.2697987134581545,8.465507758198628,8.18737990454652,6.7719072367265545,2.5402114909556275
Entreprise_002,95073894925.67113,0.05940638947044441,-0.0607048304840207,-0.09469355922523606,-0.18770654177059926,0.03959093881486547,0.16875417972950346,7915587882.943697,0.08325721681153499,3408964292.6114893,18558687136.090103,40.85066287361175,28441803101.010754,0.11846670919950048,1,0,0,5.137078552153048,0.7053563759295656,51,25,5.448010852760984,9.856007339528004,8.146250560259173,5.962585752327021,6.857127688246809,8.824951050681364,1.6290265447739405,1,3.439796363163702,0,3.7779682390941147,1.8583205556534255,4.372816482446176,5.132199758278188,3.7803106223319514,4.269053206363036,1.2461420770752119,4.840389402278484,8.597287835022325
Entreprise_003,73212794484.04994,0.062190536483031966,-0.1114947578616266,-0.06371291298204054,-0.18893822423550138,-0.18717896709678217,-0.023374295748967933,-769561228.7002842,-0.010511294291163,14995038048.346558,1838376414.169295,16.271055445662455,12279087759.958649,0.045201367522831506,0,0,0,2.881845259595295,9.094295036858766,18,24,1.2564349241231398,6.866786117241295,9.361630415509964,7.097370848010202,8.589805471222201,0.20121721853074037,8.124136576239005,1,2.772584163491861,1,3.1668435601692604,9.779934237382346,4.035486208136883,8.721060637465811,0.08108196886213226,5.5201817229565115,8.576559882418273,9.782694859989881,7.001882592940531
Entreprise_004,59885915495.493805,0.09122897044946199,-0.1556487331214722,0.016608312193938435,-0.03819489042522939,-0.029376086186921835,-0.0517322093561724,7424343171.2367,0.12397477954220061,9318772305.042824,202985285.48467895,33.119334482314954,5769926859.932278,0.06294218199185692,0,1,0,0.06464357789710551,1.9012876631870568,88,29,2.897279837382146,2.4361479198219427,5.1351786674177005,0.07357829625414536,0.8877326695623267,7.52727137825976,8.533957335369417,1,9.966832779346797,0,6.7730395929814105,9.94287985761059,1.3696663454423585,2.8893701665758265,0.09252522435902355,2.3094166459874446,8.97508835108354,8.741037960662108,5.477399094691369
Entreprise_005,15644063112.22153,0.11782740011679849,-0.1396820644496996,-0.015715089881500416,0.044321595202332864,-0.009902190607071482,-0.025148385127075235,2320254502.0744567,0.1483153376095636,5296459011.301152,2409680734.2247367,30.72856924146869,1033030642.2506158,0.05155486206148081,0,1,0,4.962392219008139,8.212501545597043,72,30,2.387517710860241,7.9855583813059905,9.50279223611407,5.182057321825209,8.649949762077764,4.737732925144229,9.143404426664835,0,7.507902311797877,1,2.895827046707271,5.556171546824029,5.067700407177881,0.8624917130396492,4.605660075622557,7.435025357790752,9.467079150338883,3.5907077904315123,6.095685338984641
Entreprise_006,15641652307.603455,0.1927556238387604,0.030389384016362875,0.07853434221539499,0.1852037089038966,-0.000588609551549768,0.18732676559059092,456586388.88573194,0.029190419266881665,4737694197.549981,2525049254.7236643,42.4773669554722,1644816097.1938615,0.04473917817507525,1,1,0,2.856259885622431,5.446308711071358,30,19,2.135428544903414,1.070291342110381,5.356889704560298,0.3752865753180312,3.2061990655022674,4.467721588396069,2.652850890860524,0,6.447199773818176,1,5.771997464225614,1.7014274017715791,1.2654531119637724,9.36565611658006,4.883349130043346,5.319883182707819,3.974879924226278,0.454865414722746,0.9106618208218098
Entreprise_007,5855457036.211536,0.05489010449035861,-0.09683314079710376,0.06348871234768819,0.14164768830325258,0.09008618461366613,0.13068530553520719,962021226.1114043,0.16429481424968823,1067431455.5664409,140773653.1115141,45.77391772165672,654405773.7174841,0.16688508079652672,0,1,1,7.346083007105351,0.778565196087696,44,28,4.111443364799871,7.806993041716287,3.9419049459990796,5.69230212091448,1.7833151242821632,0.07096532494887176,9.039530651898893,0,3.5528964321931875,1,0.658921650319727,3.1610488794089564,4.766204563105404,3.78196349528219,0.22569696573442655,8.090345502403416,2.1714040403767187,8.456263001150187,4.739197609111919
Entreprise_008,86624305770.20477,-0.0031130581176262023,-0.01786506947596228,-0.03163652966042481,0.022951353188374157,0.06680127336343922,-0.10740221606626604,15292292304.59934,0.1765358136914416,9437395622.417597,4601185705.904702,5.547054716482406,1785682388.926711,0.06428443785556916,0,1,0,0.2394626527048349,9.554481914380675,53,7,7.040314525916569,9.101961241446965,8.482031285528954,9.207708496360754,2.393698363420463,8.193982309664928,3.2066275473643224,1,0.4916082915504816,2,1.9128915669651436,4.2449283267653515,7.636152989616567,5.7640555145363335,6.869274167743025,7.807327300286698,3.7364081846669848,9.112343103146713,1.93700292785702
Entreprise_009,60131445423.73372,0.13855585843061113,0.05170863542742843,-0.048115313313741505,-0.06318666685916707,0.1039525463967223,-0.11294533233295784,1156094496.3997338,0.01922612184445223,29706015387.785496,211089795.96759787,35.33089635764567,6666909240.855328,0.1861535185542454,1,1,1,5.8482781130579085,2.4696116699189252,10,5,2.1745293221723596,3.8283339476843525,4.929827104580891,9.684191305004079,4.179685080138871,3.5982490063656645,5.523380134555028,1,0.3105687603515561,0,4.074052716113488,3.093242243582229,2.582643578871635,7.9200312613019594,2.940033885949531,2.1500476827002855,3.3291209623140325,8.206273934190367,2.0838367900882537
Entreprise_010,70821854150.71475,-0.018750324621377726,0.14519741431468264,-0.024061518366546616,0.29856225007885556,0.18244163077106412,-0.15080217514330135,13872610866.14767,0.1958803681788055,16076618300.269648,4154531930.769983,7.332610960387806,9863469820.834528,0.1942860398155863,0,0,0,9.414742375060655,8.596453453526065,87,10,3.666788797029814,6.306352949830805,4.719025105645231,5.405526753889242,2.511920046044672,5.407656313005429,0.5050747083228213,1,5.541812554487988,0,9.369492539086954,2.806355798765158,4.807861681797273,3.243136638755806,5.598931015359494,7.156355505577624,1.7615391250286005,1.2794994091976486,6.613039622868667
